CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,00:48:52 - June 28 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
00:49:02 06/28/25,61,61,61,61,61,61,,,60,73,5,3593.19,,60,73,2,3593.19,,60,73,0,3593.19,,60,73,6,3593.19,,60,73,1,3593.19,,60,73,6,3593.19,33.8,
00:49:12 06/28/25,62,62,62,62,62,62,,,60,73,12,3593.19,,60,73,7,3593.19,,60,73,1,3593.19,,60,73,9,3593.19,,60,73,5,3712.97,,60,73,6,3712.97,34.2,
00:49:22 06/28/25,62,62,62,62,62,62,,,60,73,4,3593.19,,60,73,2,3593.19,,60,73,1,3593.19,,60,73,5,3593.19,,60,73,0,3593.19,,60,73,8,3593.19,32.2,
00:49:32 06/28/25,61,61,61,61,61,61,,,60,73,2,3593.19,,60,73,1,3593.19,,60,73,0,3593.19,,60,73,2,3593.19,,60,73,1,3593.19,,60,73,3,2874.55,28.2,
00:49:42 06/28/25,61,61,61,61,61,61,,,60,73,1,4641.21,,60,73,4,4641.21,,60,73,1,3712.97,,60,73,3,3712.97,,60,73,1,3712.97,,60,73,3,3712.97,30.9,
00:49:52 06/28/25,61,61,61,61,61,61,,,60,73,5,3593.19,,60,73,4,3593.19,,60,73,1,3593.19,,60,73,4,3593.19,,60,73,1,3593.19,,60,73,4,3712.97,35.9,
00:50:02 06/28/25,67,67,67,67,67,67,,,60,73,6,3712.97,,60,73,6,3712.97,,60,73,2,3712.97,,60,73,3,3712.97,,60,73,1,3712.97,,60,73,4,3712.97,28.5,
00:50:12 06/28/25,63,63,63,63,63,63,,,60,73,7,3593.19,,60,73,5,3593.19,,60,73,0,3593.19,,60,73,7,3593.19,,60,73,6,3593.19,,60,73,2,3593.19,33.7,
00:50:22 06/28/25,61,61,61,61,61,61,,,60,73,6,3593.19,,60,73,5,3593.19,,60,73,2,3593.19,,60,73,2,4641.21,,60,73,1,3712.97,,60,73,6,3712.97,31.5,
00:50:32 06/28/25,60,60,60,60,60,60,,,60,73,4,3593.19,,60,73,5,3593.19,,60,73,1,3593.19,,60,73,6,3593.19,,60,73,1,3593.19,,60,73,3,3593.19,28.1,
00:50:42 06/28/25,65,65,65,65,65,65,,,60,73,5,3593.19,,60,73,2,3593.19,,60,73,3,3712.97,,60,73,1,3712.97,,60,73,3,3712.97,,60,73,2,3712.97,29.3,
