CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,09:40:20 - July 12 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
09:40:30 07/12/25,71,71,71,71,71,71,,,64,71,53,3593.23,,64,71,44,3593.23,,64,71,32,3593.23,,64,71,50,3593.23,,64,71,44,3593.23,,64,71,29,4541.45,72.5,
09:40:40 07/12/25,68,68,68,68,68,68,,,64,71,75,4416.68,,64,71,67,4416.68,,64,71,65,4366.78,,64,71,77,4366.78,,64,71,63,4366.78,,64,71,61,4366.78,77.7,
09:40:50 07/12/25,72,72,72,72,72,72,,,64,76,12,3668.09,,64,76,3,3668.09,,64,76,4,3713.01,,64,76,9,3713.01,,64,76,3,3713.01,,64,76,7,3713.01,39.9,
09:41:00 07/12/25,67,67,67,67,67,67,,,64,76,19,4641.26,,64,76,3,4641.26,,64,76,2,3713.01,,64,76,12,3713.01,,64,76,2,3713.01,,64,76,5,3713.01,43.3,
09:41:10 07/12/25,65,65,65,65,65,65,,,64,76,21,3668.09,,64,76,9,3668.09,,64,76,0,3668.09,,64,76,10,3668.09,,64,76,5,3668.09,,64,76,5,3668.09,44.1,
09:41:20 07/12/25,72,72,72,72,72,72,,,64,76,40,4591.35,,64,76,22,4591.35,,64,76,15,4591.35,,64,76,33,4566.40,,64,76,17,4566.40,,64,76,13,4566.40,59.7,
09:41:30 07/12/25,80,80,80,80,80,80,,,64,80,35,4541.45,,64,80,25,4491.54,,64,80,14,4491.54,,64,80,40,4491.54,,64,80,13,4491.54,,64,80,12,4491.54,69.5,
09:41:40 07/12/25,80,80,80,80,80,80,,,64,80,41,4641.26,,64,80,13,4641.26,,64,80,8,4641.26,,64,80,25,4641.26,,64,80,8,4641.26,,64,80,10,4641.26,57.4,
09:41:50 07/12/25,79,79,79,79,79,79,,,64,80,16,3713.01,,64,80,8,3713.01,,64,80,3,3713.01,,64,80,40,3713.01,,64,80,1,3713.01,,64,80,4,3713.01,56.9,
09:42:00 07/12/25,71,71,71,71,71,71,,,64,80,9,3668.09,,64,80,8,3668.09,,64,80,6,3668.09,,64,80,18,3668.09,,64,80,4,3668.09,,64,80,8,3668.09,43.6,
09:42:10 07/12/25,65,65,65,65,65,65,,,64,80,13,3713.01,,64,80,6,3713.01,,64,80,5,3713.01,,64,80,10,4641.26,,64,80,5,3713.01,,64,80,6,3713.01,44.6,
09:42:20 07/12/25,63,63,63,63,63,63,,,63,80,15,3668.09,,63,80,6,3668.09,,63,80,4,3668.09,,63,80,12,4641.26,,63,80,4,4641.26,,63,80,5,4641.26,42.6,
09:42:30 07/12/25,72,72,72,72,72,72,,,63,80,44,4616.31,,63,80,32,4641.26,,63,80,25,3713.01,,63,80,47,4616.31,,63,80,35,3693.05,,63,80,29,3693.05,70.1,
09:42:40 07/12/25,67,67,67,67,67,67,,,63,80,19,4641.26,,63,80,5,4641.26,,63,80,3,3713.01,,63,80,18,3713.01,,63,80,4,3713.01,,63,80,5,3713.01,47.1,
09:42:50 07/12/25,70,70,70,70,70,70,,,63,80,11,3668.09,,63,80,8,3668.09,,63,80,6,3668.09,,63,80,14,3668.09,,63,80,6,3668.09,,63,80,8,2934.47,43.0,
09:43:00 07/12/25,67,67,67,67,67,67,,,63,80,12,4641.26,,63,80,4,4641.26,,63,80,7,4641.26,,63,80,19,4641.26,,63,80,4,4641.26,,63,80,8,4641.26,43.9,
09:43:10 07/12/25,66,66,66,66,66,66,,,63,80,16,4641.26,,63,80,7,4641.26,,63,80,4,3713.01,,63,80,14,3713.01,,63,80,4,3713.01,,63,80,10,3713.01,40.8,
09:43:20 07/12/25,68,68,68,68,68,68,,,63,80,20,3668.09,,63,80,17,4641.26,,63,80,10,4641.26,,63,80,24,4641.26,,63,80,13,4641.26,,63,80,14,4641.26,48.0,
09:43:30 07/12/25,72,72,72,72,72,72,,,63,80,38,4616.31,,63,80,14,4616.31,,63,80,11,3693.05,,63,80,20,3693.05,,63,80,11,3693.05,,63,80,11,3693.05,50.4,
09:43:40 07/12/25,70,70,70,70,70,70,,,63,80,18,3668.09,,63,80,10,3668.09,,63,80,8,4641.26,,63,80,22,4641.26,,63,80,12,3713.01,,63,80,11,3713.01,48.9,
09:43:50 07/12/25,68,68,68,68,68,68,,,63,80,14,3713.01,,63,80,13,3713.01,,63,80,3,3713.01,,63,80,17,3713.01,,63,80,3,3713.01,,63,80,5,3713.01,45.6,
09:44:00 07/12/25,69,69,69,69,69,69,,,63,80,20,4641.26,,63,80,12,4641.26,,63,80,6,3713.01,,63,80,20,3713.01,,63,80,9,3713.01,,63,80,10,3713.01,50.4,
09:44:10 07/12/25,69,69,69,69,69,69,,,63,80,17,3668.09,,63,80,12,3668.09,,63,80,7,3668.09,,63,80,30,3668.09,,63,80,9,3668.09,,63,80,10,3668.09,47.8,
09:44:20 07/12/25,69,69,69,69,69,69,,,63,80,19,3713.01,,63,80,13,3713.01,,63,80,7,3713.01,,63,80,21,3713.01,,63,80,13,3713.01,,63,80,13,3713.01,49.0,
09:44:30 07/12/25,69,69,69,69,69,69,,,63,80,18,4641.26,,63,80,8,4641.26,,63,80,6,3713.01,,63,80,20,3713.01,,63,80,5,3713.01,,63,80,7,3713.01,49.5,
