time,core_temp_0,low_temp_0,high_temp_0,core_load_0,core_speed_0,core_temp_1,low_temp_1,high_temp_1,core_load_1,core_speed_1,core_temp_2,low_temp_2,high_temp_2,core_load_2,core_speed_2,core_temp_3,low_temp_3,high_temp_3,core_load_3,core_speed_3,core_temp_4,low_temp_4,high_temp_4,core_load_4,core_speed_4,core_temp_5,low_temp_5,high_temp_5,core_load_5,core_speed_5,cpu_power
2025-08-08 20:46:09,62,59,62,9,3600.08,62,59,62,8,4650.11,62,59,62,3,3720.09,62,59,62,7,3720.09,62,59,62,5,3720.09,62,59,62,12,3720.09,39.4
2025-08-08 20:46:19,59,59,62,3,3600.08,59,59,62,1,3600.08,59,59,62,4,3600.08,59,59,62,4,3600.08,59,59,62,1,3600.08,59,59,62,1,3600.08,29.7
2025-08-08 20:46:29,56,56,62,5,4650.11,56,56,62,0,4650.11,56,56,62,0,4650.11,56,56,62,2,4650.11,56,56,62,0,3720.09,56,56,62,1,3720.09,28.7
2025-08-08 20:46:39,56,56,62,2,3600.08,56,56,62,0,3600.08,56,56,62,2,3600.08,56,56,62,4,3600.08,56,56,62,1,3600.08,56,56,62,4,3600.08,29.7
2025-08-08 20:46:49,54,54,62,1,3600.08,54,54,62,0,3600.08,54,54,62,0,3600.08,54,54,62,4,3600.08,54,54,62,0,3720.09,54,54,62,3,3720.09,25.9
2025-08-08 20:46:59,54,53,62,3,3600.08,54,53,62,2,3600.08,54,53,62,3,3600.08,54,53,62,3,3600.08,54,53,62,0,3600.08,54,53,62,5,3600.08,30.2
2025-08-08 20:47:09,53,53,62,2,3600.08,53,53,62,0,3600.08,53,53,62,2,3600.08,53,53,62,0,3600.08,53,53,62,0,3600.08,53,53,62,1,3600.08,26.1
2025-08-08 20:47:19,52,52,62,3,3600.08,52,52,62,0,3600.08,52,52,62,0,3600.08,52,52,62,2,3600.08,52,52,62,0,3600.08,52,52,62,0,2880.07,27.0
2025-08-08 20:47:29,53,52,62,6,4650.11,53,52,62,1,4650.11,53,52,62,1,4650.11,53,52,62,4,4650.11,53,52,62,0,3720.09,53,52,62,2,3720.09,25.8
2025-08-08 20:47:39,67,52,67,14,4650.11,67,52,67,5,4650.11,67,52,67,0,3720.09,67,52,67,8,3720.09,67,52,67,4,3720.09,67,52,67,2,3720.09,40.1
2025-08-08 20:47:49,60,52,68,9,3600.08,60,52,68,3,3600.08,60,52,68,1,3600.08,60,52,68,8,3600.08,60,52,68,3,3720.09,60,52,68,3,3720.09,32.1
2025-08-08 20:47:59,60,52,68,7,3600.08,60,52,68,1,4650.11,60,52,68,0,4650.11,60,52,68,5,4650.11,60,52,68,2,3720.09,60,52,68,5,3720.09,31.1
2025-08-08 20:48:09,57,52,68,9,3600.08,57,52,68,4,3600.08,57,52,68,3,3600.08,57,52,68,8,3600.08,57,52,68,2,3720.09,57,52,68,2,3720.09,31.6
2025-08-08 20:48:19,56,52,68,2,3600.08,56,52,68,1,3600.08,56,52,68,1,3600.08,56,52,68,2,3600.08,56,52,68,1,3600.08,56,52,68,2,4650.11,28.6
