CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,11:14:18 - June 28 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
11:14:28 06/28/25,71,71,71,71,71,71,,,67,72,34,4366.80,,67,72,20,4366.80,,67,72,12,4366.80,,67,72,38,4366.80,,67,72,11,4366.80,,67,72,28,4366.80,54.2,
11:14:38 06/28/25,70,69,69,70,70,70,,,67,73,41,4416.71,,67,73,35,4416.71,,67,73,25,4416.71,,67,73,45,4416.71,,67,73,30,4416.71,,67,73,15,4441.66,61.3,
11:14:48 06/28/25,74,74,74,74,74,74,,,67,74,81,4366.80,,67,74,74,4391.75,,67,74,67,4466.61,,67,74,80,4491.57,,67,74,67,4516.52,,67,74,69,4516.52,77.5,
11:14:58 06/28/25,75,75,75,75,75,75,,,67,78,20,4641.29,,67,78,13,4641.29,,67,78,6,3713.03,,67,78,21,3713.03,,67,78,8,3713.03,,67,78,9,3713.03,46.4,
11:15:08 06/28/25,66,66,66,66,66,66,,,64,78,38,4641.29,,64,78,31,4641.29,,64,78,22,4641.29,,64,78,38,4641.29,,64,78,30,3713.03,,64,78,20,3713.03,66.7,
11:15:18 06/28/25,64,64,64,64,64,64,,,64,78,6,3593.25,,64,78,4,3593.25,,64,78,2,3593.25,,64,78,3,3593.25,,64,78,0,3593.25,,64,78,6,3713.03,33.3,
11:15:28 06/28/25,71,70,70,70,70,71,,,60,78,59,4491.57,,60,78,52,4541.47,,60,78,35,4541.47,,60,78,60,4541.47,,60,78,40,4541.47,,60,78,39,4541.47,76.8,
11:15:38 06/28/25,74,74,74,74,74,74,,,60,82,9,4641.29,,60,82,1,4641.29,,60,82,3,3713.03,,60,82,7,3713.03,,60,82,2,3713.03,,60,82,10,3713.03,40.9,
11:15:48 06/28/25,63,63,63,63,63,63,,,60,82,2,3593.25,,60,82,0,3593.25,,60,82,0,3593.25,,60,82,1,3593.25,,60,82,0,3593.25,,60,82,2,3593.25,29.2,
11:15:58 06/28/25,71,71,71,71,71,71,,,59,82,40,4641.29,,59,82,21,4641.29,,59,82,11,3713.03,,59,82,36,3713.03,,59,82,16,3713.03,,59,82,16,3713.03,59.2,
11:16:08 06/28/25,71,71,71,71,71,71,,,59,82,17,4541.47,,59,82,7,4541.47,,59,82,1,3633.18,,59,82,31,3633.18,,59,82,5,3633.18,,59,82,3,3633.18,53.3,
11:16:18 06/28/25,71,71,71,71,71,71,,,59,82,18,4641.29,,59,82,12,4641.29,,59,82,2,3713.03,,59,82,22,3713.03,,59,82,4,3713.03,,59,82,5,3713.03,46.8,
11:16:28 06/28/25,74,74,74,74,74,74,,,59,82,7,3593.25,,59,82,2,3593.25,,59,82,0,3593.25,,59,82,7,3593.25,,59,82,0,3593.25,,59,82,2,3593.25,33.6,
11:16:38 06/28/25,62,62,62,62,62,62,,,59,82,10,3593.25,,59,82,2,3593.25,,59,82,0,3593.25,,59,82,3,3593.25,,59,82,0,3593.25,,59,82,5,3593.25,32.3,
11:16:48 06/28/25,61,61,61,61,61,61,,,58,82,14,3593.25,,58,82,13,3593.25,,58,82,3,3593.25,,58,82,14,3593.25,,58,82,7,3593.25,,58,82,8,3593.25,34.4,
11:16:58 06/28/25,58,58,58,58,58,58,,,58,82,7,3593.25,,58,82,5,3593.25,,58,82,3,3593.25,,58,82,9,3593.25,,58,82,3,3593.25,,58,82,5,3593.25,31.0,
11:17:08 06/28/25,58,58,58,58,58,58,,,58,82,3,3593.25,,58,82,1,3593.25,,58,82,0,4641.29,,58,82,6,4641.29,,58,82,1,3713.03,,58,82,1,3713.03,29.9,
11:17:18 06/28/25,58,58,58,58,58,58,,,58,82,4,3593.25,,58,82,3,3593.25,,58,82,0,3593.25,,58,82,8,3593.25,,58,82,0,3593.25,,58,82,3,3593.25,31.0,
11:17:28 06/28/25,62,62,62,62,62,62,,,58,82,8,4641.29,,58,82,6,4641.29,,58,82,1,4641.29,,58,82,15,4641.29,,58,82,4,3713.03,,58,82,2,3713.03,35.8,
11:17:38 06/28/25,67,67,67,67,67,67,,,58,82,8,3593.25,,58,82,2,3593.25,,58,82,0,3593.25,,58,82,8,3713.03,,58,82,1,3713.03,,58,82,2,3713.03,32.6,
11:17:48 06/28/25,65,65,65,65,65,65,,,58,82,11,3593.25,,58,82,8,3593.25,,58,82,1,3593.25,,58,82,14,3593.25,,58,82,3,3593.25,,58,82,4,3593.25,37.7,
11:17:58 06/28/25,65,65,65,65,65,65,,,58,82,43,4616.33,,58,82,22,4616.33,,58,82,17,4616.33,,58,82,37,4616.33,,58,82,25,3693.07,,58,82,16,3693.07,56.7,
