CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,16:42:02 - July 02 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
16:42:12 07/02/25,79,79,79,79,79,79,,,79,82,27,4641.31,,79,82,16,4641.31,,79,82,6,4641.31,,79,82,29,4641.31,,79,82,9,3713.05,,79,82,10,3713.05,52.6,
16:42:22 07/02/25,76,76,76,76,76,76,,,74,82,26,4491.59,,74,82,25,4491.59,,74,82,21,4491.59,,74,82,33,4491.59,,74,82,20,3593.27,,74,82,11,3593.27,61.7,
16:42:32 07/02/25,75,75,75,75,75,75,,,74,82,25,3713.05,,74,82,21,3713.05,,74,82,9,3713.05,,74,82,38,3713.05,,74,82,10,3713.05,,74,82,6,3713.05,53.5,
16:42:42 07/02/25,77,77,77,77,77,77,,,74,82,23,4491.59,,74,82,23,4491.59,,74,82,12,3593.27,,74,82,34,3593.27,,74,82,18,3593.27,,74,82,16,3593.27,54.2,
16:42:52 07/02/25,74,74,74,74,74,74,,,74,82,20,3713.05,,74,82,9,3713.05,,74,82,9,3713.05,,74,82,32,3713.05,,74,82,9,3713.05,,74,82,3,3713.05,52.9,
16:43:02 07/02/25,74,74,74,74,74,74,,,74,82,18,3713.05,,74,82,16,3713.05,,74,82,6,3713.05,,74,82,23,3713.05,,74,82,7,3713.05,,74,82,4,4641.31,52.4,
16:43:12 07/02/25,78,78,78,78,78,78,,,74,82,34,4291.97,,74,82,26,4242.06,,74,82,18,4242.06,,74,82,47,4217.11,,74,82,21,4217.11,,74,82,22,4267.01,58.6,
16:43:22 07/02/25,77,77,77,77,77,77,,,74,82,24,3713.05,,74,82,12,3713.05,,74,82,10,3713.05,,74,82,33,3713.05,,74,82,8,3693.09,,74,82,8,4616.36,53.2,
16:43:32 07/02/25,81,81,81,81,81,81,,,74,82,36,4541.50,,74,82,32,4541.50,,74,82,19,4541.50,,74,82,47,4541.50,,74,82,23,3633.20,,74,82,14,3633.20,65.5,
16:43:42 07/02/25,77,77,77,77,77,77,,,74,82,15,3713.05,,74,82,4,3593.27,,74,82,3,3593.27,,74,82,10,3593.27,,74,82,3,3593.27,,74,82,7,3593.27,38.7,
