CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,20:45:59 - August 08 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
20:46:09 08/08/25,62,62,62,62,62,62,,,59,62,9,3600.08,,59,62,8,4650.11,,59,62,3,3720.09,,59,62,7,3720.09,,59,62,5,3720.09,,59,62,12,3720.09,39.4,
20:46:19 08/08/25,59,59,59,59,59,59,,,59,62,3,3600.08,,59,62,1,3600.08,,59,62,4,3600.08,,59,62,4,3600.08,,59,62,1,3600.08,,59,62,1,3600.08,29.7,
20:46:29 08/08/25,56,56,56,56,56,56,,,56,62,5,4650.11,,56,62,0,4650.11,,56,62,0,4650.11,,56,62,2,4650.11,,56,62,0,3720.09,,56,62,1,3720.09,28.7,
20:46:39 08/08/25,56,56,56,56,56,56,,,56,62,2,3600.08,,56,62,0,3600.08,,56,62,2,3600.08,,56,62,4,3600.08,,56,62,1,3600.08,,56,62,4,3600.08,29.7,
20:46:49 08/08/25,54,54,54,54,54,54,,,54,62,1,3600.08,,54,62,0,3600.08,,54,62,0,3600.08,,54,62,4,3600.08,,54,62,0,3720.09,,54,62,3,3720.09,25.9,
20:46:59 08/08/25,54,54,54,54,54,54,,,53,62,3,3600.08,,53,62,2,3600.08,,53,62,3,3600.08,,53,62,3,3600.08,,53,62,0,3600.08,,53,62,5,3600.08,30.2,
20:47:09 08/08/25,53,53,53,53,53,53,,,53,62,2,3600.08,,53,62,0,3600.08,,53,62,2,3600.08,,53,62,0,3600.08,,53,62,0,3600.08,,53,62,1,3600.08,26.1,
20:47:19 08/08/25,52,52,52,52,52,52,,,52,62,3,3600.08,,52,62,0,3600.08,,52,62,0,3600.08,,52,62,2,3600.08,,52,62,0,3600.08,,52,62,0,2880.07,27.0,
20:47:29 08/08/25,53,53,53,53,53,53,,,52,62,6,4650.11,,52,62,1,4650.11,,52,62,1,4650.11,,52,62,4,4650.11,,52,62,0,3720.09,,52,62,2,3720.09,25.8,
20:47:39 08/08/25,67,67,67,67,67,67,,,52,67,14,4650.11,,52,67,5,4650.11,,52,67,0,3720.09,,52,67,8,3720.09,,52,67,4,3720.09,,52,67,2,3720.09,40.1,
20:47:49 08/08/25,60,60,60,60,60,60,,,52,68,9,3600.08,,52,68,3,3600.08,,52,68,1,3600.08,,52,68,8,3600.08,,52,68,3,3720.09,,52,68,3,3720.09,32.1,
20:47:59 08/08/25,60,60,60,60,60,60,,,52,68,7,3600.08,,52,68,1,4650.11,,52,68,0,4650.11,,52,68,5,4650.11,,52,68,2,3720.09,,52,68,5,3720.09,31.1,
20:48:09 08/08/25,57,57,57,57,57,57,,,52,68,9,3600.08,,52,68,4,3600.08,,52,68,3,3600.08,,52,68,8,3600.08,,52,68,2,3720.09,,52,68,2,3720.09,31.6,
20:48:19 08/08/25,56,56,56,56,56,56,,,52,68,2,3600.08,,52,68,1,3600.08,,52,68,1,3600.08,,52,68,2,3600.08,,52,68,1,3600.08,,52,68,2,4650.11,28.6,
20:48:29 08/08/25,56,56,56,56,56,56,,,52,68,7,4650.11,,52,68,0,4650.11,,52,68,2,4650.11,,52,68,6,4650.11,,52,68,2,3720.09,,52,68,1,3720.09,28.4,
20:48:39 08/08/25,62,62,62,62,62,62,,,52,68,5,3600.08,,52,68,2,3600.08,,52,68,1,3600.08,,52,68,5,3600.08,,52,68,1,3600.08,,52,68,3,3600.08,29.9,
20:48:49 08/08/25,70,70,70,70,70,70,,,52,70,34,4650.11,,52,70,19,4650.11,,52,70,8,4650.11,,52,70,29,4650.11,,52,70,6,3720.09,,52,70,8,3720.09,61.9,
20:48:59 08/08/25,73,73,73,73,73,73,,,52,73,27,4625.11,,52,73,26,4625.11,,52,73,15,3700.09,,52,73,35,3720.09,,52,73,18,3720.09,,52,73,10,3720.09,54.5,
20:49:09 08/08/25,77,77,77,77,77,77,,,52,77,21,4650.11,,52,77,14,3600.08,,52,77,6,3600.08,,52,77,33,3600.08,,52,77,14,3600.08,,52,77,7,3600.08,57.1,
20:49:19 08/08/25,74,74,74,74,74,74,,,52,77,16,4500.10,,52,77,17,4525.11,,52,77,6,4525.11,,52,77,19,4525.11,,52,77,9,3620.08,,52,77,12,4525.11,46.6,
20:49:29 08/08/25,73,73,73,73,73,73,,,52,77,23,3600.08,,52,77,9,3600.08,,52,77,12,3600.08,,52,77,23,3600.08,,52,77,13,3600.08,,52,77,8,3600.08,56.5,
20:49:39 08/08/25,75,75,75,75,75,75,,,52,77,12,4625.11,,52,77,9,4625.11,,52,77,4,4625.11,,52,77,19,4625.11,,52,77,10,4625.11,,52,77,29,4625.11,59.7,
20:49:49 08/08/25,76,76,76,76,76,76,,,52,79,20,4650.11,,52,79,8,4650.11,,52,79,3,4650.11,,52,79,11,4650.11,,52,79,8,3720.09,,52,79,4,3720.09,51.0,
20:49:59 08/08/25,74,74,74,74,74,74,,,52,79,21,3720.09,,52,79,15,3720.09,,52,79,6,3720.09,,52,79,17,3720.09,,52,79,12,4625.11,,52,79,3,4625.11,54.2,
20:50:09 08/08/25,76,76,76,76,76,76,,,52,79,26,4550.11,,52,79,23,4550.11,,52,79,9,4550.11,,52,79,24,4550.11,,52,79,12,4575.11,,52,79,5,4575.11,58.1,
20:50:19 08/08/25,75,75,75,75,75,75,,,52,79,39,4575.11,,52,79,28,4575.11,,52,79,14,4575.11,,52,79,23,4575.11,,52,79,18,4575.11,,52,79,7,4550.11,59.9,
20:50:29 08/08/25,72,72,72,72,72,72,,,52,79,25,4650.11,,52,79,16,4650.11,,52,79,7,4650.11,,52,79,23,4650.11,,52,79,16,3720.09,,52,79,10,3720.09,54.3,
20:50:39 08/08/25,75,75,75,75,75,75,,,52,79,30,3620.08,,52,79,26,3620.08,,52,79,19,4525.11,,52,79,35,4525.11,,52,79,23,4525.11,,52,79,14,4525.11,66.0,
20:50:49 08/08/25,71,71,71,71,71,71,,,52,79,12,3600.08,,52,79,10,4650.11,,52,79,3,3720.09,,52,79,15,3720.09,,52,79,2,3720.09,,52,79,3,3720.09,49.3,
20:50:59 08/08/25,78,78,78,78,78,78,,,52,79,68,4275.10,,52,79,73,4300.10,,52,79,54,4300.10,,52,79,68,4300.10,,52,79,53,4300.10,,52,79,55,4300.10,77.7,
20:51:09 08/08/25,72,72,72,72,72,72,,,52,79,17,3675.09,,52,79,9,3675.09,,52,79,6,3675.09,,52,79,9,3675.09,,52,79,6,3675.09,,52,79,9,3675.09,47.7,
20:51:19 08/08/25,69,69,69,69,69,69,,,52,79,10,4650.11,,52,79,12,4650.11,,52,79,3,3720.09,,52,79,11,3720.09,,52,79,2,3720.09,,52,79,5,4650.11,45.0,
20:51:29 08/08/25,71,71,71,71,71,71,,,52,79,18,3675.09,,52,79,7,3675.09,,52,79,3,3675.09,,52,79,11,3675.09,,52,79,5,3675.09,,52,79,5,3675.09,43.2,
20:51:39 08/08/25,81,81,81,81,81,81,,,52,81,30,4575.11,,52,81,13,4575.11,,52,81,7,4575.11,,52,81,30,4575.11,,52,81,11,3660.09,,52,81,2,3660.09,60.5,
20:51:49 08/08/25,82,82,82,82,82,82,,,52,83,42,4550.11,,52,83,11,4550.11,,52,83,10,4550.11,,52,83,22,4550.11,,52,83,6,4550.11,,52,83,6,3660.09,60.4,
20:51:59 08/08/25,79,79,79,79,79,79,,,52,83,31,3675.09,,52,83,20,3675.09,,52,83,13,3675.09,,52,83,29,3675.09,,52,83,19,3675.09,,52,83,13,3675.09,55.0,
20:52:09 08/08/25,75,75,75,75,75,75,,,52,83,22,3720.09,,52,83,31,3600.08,,52,83,13,3600.08,,52,83,28,3600.08,,52,83,23,3600.08,,52,83,14,3600.08,53.9,
20:52:19 08/08/25,73,73,73,73,73,73,,,52,83,23,3720.09,,52,83,14,4650.11,,52,83,8,4650.11,,52,83,22,4650.11,,52,83,10,4650.11,,52,83,10,4650.11,51.4,
20:52:29 08/08/25,72,72,72,72,72,72,,,52,83,24,4625.11,,52,83,14,4625.11,,52,83,8,4600.11,,52,83,14,4600.11,,52,83,14,4600.11,,52,83,8,4600.11,53.1,
20:52:39 08/08/25,72,72,72,72,72,72,,,52,83,21,4650.11,,52,83,17,4650.11,,52,83,10,3720.09,,52,83,22,3720.09,,52,83,13,4650.11,,52,83,11,4650.11,52.2,
20:52:49 08/08/25,72,72,72,72,72,72,,,52,83,22,3675.09,,52,83,20,4650.11,,52,83,11,3720.09,,52,83,22,3720.09,,52,83,11,3720.09,,52,83,10,3720.09,52.2,
20:52:59 08/08/25,72,72,72,72,72,72,,,52,83,14,3675.09,,52,83,11,3675.09,,52,83,6,3675.09,,52,83,17,4650.11,,52,83,11,4650.11,,52,83,7,4650.11,48.8,
20:53:09 08/08/25,72,72,72,72,72,72,,,52,83,12,4625.11,,52,83,9,4625.11,,52,83,6,4625.11,,52,83,17,4625.11,,52,83,8,4625.11,,52,83,7,4650.11,48.5,
20:53:19 08/08/25,71,71,71,71,71,71,,,52,83,13,3700.09,,52,83,9,3700.09,,52,83,4,3700.09,,52,83,18,3700.09,,52,83,12,4650.11,,52,83,4,4650.11,48.1,
20:53:29 08/08/25,71,71,71,71,71,71,,,52,83,22,4650.11,,52,83,12,4650.11,,52,83,5,3720.09,,52,83,21,3720.09,,52,83,9,3720.09,,52,83,10,3720.09,49.9,
20:53:39 08/08/25,72,72,72,72,72,72,,,52,83,20,4650.11,,52,83,13,4650.11,,52,83,9,3720.09,,52,83,20,3720.09,,52,83,15,3720.09,,52,83,10,3720.09,51.8,
20:53:49 08/08/25,73,73,73,73,73,73,,,52,83,24,3675.09,,52,83,12,3675.09,,52,83,9,3675.09,,52,83,17,3675.09,,52,83,10,3675.09,,52,83,12,4650.11,51.3,
20:53:59 08/08/25,73,73,73,73,73,73,,,52,83,17,4650.11,,52,83,9,4650.11,,52,83,5,4650.11,,52,83,16,4650.11,,52,83,5,4650.11,,52,83,8,4650.11,50.9,
20:54:09 08/08/25,72,72,72,72,72,72,,,52,83,16,3675.09,,52,83,10,3675.09,,52,83,2,3675.09,,52,83,13,3675.09,,52,83,4,3675.09,,52,83,11,3675.09,50.5,
20:54:19 08/08/25,73,73,73,73,73,73,,,52,83,21,4525.11,,52,83,17,4525.11,,52,83,8,4525.11,,52,83,17,4600.11,,52,83,7,4600.11,,52,83,7,4600.11,54.0,
20:54:29 08/08/25,73,73,73,73,73,73,,,52,83,22,4650.11,,52,83,14,4650.11,,52,83,11,3720.09,,52,83,26,3720.09,,52,83,17,3640.09,,52,83,15,3640.09,48.8,
20:54:39 08/08/25,73,73,73,73,73,73,,,52,83,24,3675.09,,52,83,23,3675.09,,52,83,12,3675.09,,52,83,9,3675.09,,52,83,12,2940.07,,52,83,8,3700.09,54.6,
20:54:49 08/08/25,73,73,73,73,73,73,,,52,83,18,3675.09,,52,83,11,3675.09,,52,83,8,3675.09,,52,83,13,3675.09,,52,83,6,3675.09,,52,83,5,4650.11,52.7,
20:54:59 08/08/25,74,74,74,74,74,74,,,52,83,16,4650.11,,52,83,10,4650.11,,52,83,4,4650.11,,52,83,15,4650.11,,52,83,7,4650.11,,52,83,6,4650.11,52.5,
20:55:09 08/08/25,73,73,73,73,73,73,,,52,83,12,3675.09,,52,83,8,3675.09,,52,83,5,3675.09,,52,83,18,3675.09,,52,83,4,3675.09,,52,83,8,3675.09,51.7,
20:55:19 08/08/25,73,73,73,73,73,73,,,52,83,16,3675.09,,52,83,10,4650.11,,52,83,9,4650.11,,52,83,16,4650.11,,52,83,7,3720.09,,52,83,10,3720.09,49.3,
20:55:29 08/08/25,73,73,73,73,73,73,,,52,83,17,3675.09,,52,83,14,3675.09,,52,83,6,3675.09,,52,83,13,3675.09,,52,83,9,3675.09,,52,83,9,3675.09,51.6,
20:55:39 08/08/25,75,75,75,75,75,75,,,52,83,23,3720.09,,52,83,10,3720.09,,52,83,9,4650.11,,52,83,19,4575.11,,52,83,8,3660.09,,52,83,11,3660.09,52.4,
20:55:49 08/08/25,76,76,76,76,76,76,,,52,83,19,3675.09,,52,83,15,3675.09,,52,83,13,3675.09,,52,83,17,3675.09,,52,83,13,3675.09,,52,83,14,3675.09,57.8,
20:55:59 08/08/25,75,75,75,75,75,75,,,52,83,26,4550.11,,52,83,17,4550.11,,52,83,9,4550.11,,52,83,22,4550.11,,52,83,13,4525.11,,52,83,11,4525.11,57.5,
20:56:09 08/08/25,75,75,75,75,75,75,,,52,83,22,4650.11,,52,83,12,4650.11,,52,83,8,3720.09,,52,83,12,3720.09,,52,83,15,3720.09,,52,83,10,3720.09,54.8,
20:56:19 08/08/25,74,74,74,74,74,74,,,52,83,15,3675.09,,52,83,14,3675.09,,52,83,7,4650.11,,52,83,11,4650.11,,52,83,5,3720.09,,52,83,8,3720.09,52.2,
20:56:29 08/08/25,74,74,74,74,74,74,,,52,83,18,4650.11,,52,83,11,4650.11,,52,83,6,4650.11,,52,83,21,4650.11,,52,83,9,4650.11,,52,83,12,4650.11,52.4,
20:56:39 08/08/25,75,75,75,75,75,75,,,52,83,20,3720.09,,52,83,10,3720.09,,52,83,6,3720.09,,52,83,18,3720.09,,52,83,8,3720.09,,52,83,7,3720.09,54.1,
20:56:49 08/08/25,76,76,76,76,76,76,,,52,83,27,4650.11,,52,83,18,4575.11,,52,83,13,4650.11,,52,83,23,4650.11,,52,83,13,3720.09,,52,83,13,3720.09,55.7,
20:56:59 08/08/25,75,75,75,75,75,75,,,52,83,23,3675.09,,52,83,19,3675.09,,52,83,12,3675.09,,52,83,21,3675.09,,52,83,14,3675.09,,52,83,13,3675.09,52.9,
20:57:09 08/08/25,74,74,74,74,74,74,,,52,83,20,3675.09,,52,83,19,3675.09,,52,83,9,3675.09,,52,83,20,3675.09,,52,83,9,3675.09,,52,83,9,3675.09,53.3,
20:57:19 08/08/25,74,74,74,74,74,74,,,52,83,17,4625.11,,52,83,13,4625.11,,52,83,8,4625.11,,52,83,17,4625.11,,52,83,12,4625.11,,52,83,12,4600.11,52.2,
20:57:29 08/08/25,76,76,76,76,76,76,,,52,83,18,4650.11,,52,83,9,4650.11,,52,83,11,3720.09,,52,83,30,4575.11,,52,83,10,3660.09,,52,83,12,3660.09,58.7,
20:57:39 08/08/25,75,75,75,75,75,75,,,52,83,14,4650.11,,52,83,13,4650.11,,52,83,2,4650.11,,52,83,18,4650.11,,52,83,8,4650.11,,52,83,3,4575.11,54.1,
20:57:49 08/08/25,75,75,75,75,75,75,,,52,83,17,4525.11,,52,83,11,4525.11,,52,83,5,4500.10,,52,83,21,4500.10,,52,83,10,4500.10,,52,83,10,4500.10,55.1,
20:57:59 08/08/25,79,79,79,79,79,79,,,52,83,25,3620.08,,52,83,18,3620.08,,52,83,8,4525.11,,52,83,18,4525.11,,52,83,8,4525.11,,52,83,8,4525.11,55.1,
20:58:09 08/08/25,76,76,76,76,76,76,,,52,83,19,3675.09,,52,83,8,3675.09,,52,83,7,3675.09,,52,83,16,4650.11,,52,83,10,4650.11,,52,83,11,4650.11,53.9,
20:58:19 08/08/25,76,76,76,76,76,76,,,52,83,16,4650.11,,52,83,14,4650.11,,52,83,7,3720.09,,52,83,17,3720.09,,52,83,6,3720.09,,52,83,8,3720.09,55.1,
20:58:29 08/08/25,76,76,76,76,76,76,,,52,83,14,4625.11,,52,83,8,4625.11,,52,83,6,4625.11,,52,83,18,4625.11,,52,83,9,3700.09,,52,83,8,3700.09,49.4,
